Flow rate (m^3/s),	Ps Static Pressure (Pa)
0,	21.574632339951997
0.005941818,	20.59396347
0.006508155,	19.6133015
0.007669146,	18.63263263
0.008811259,	17.65197066
0.009580533,	16.67130179
0.009703239,	15.69063982
0.009821226,	14.709977849013997
0.010850072,	13.729308981875999
0.012275353,	12.748647009494999
0.013459941,	11.767978142356998
0.014474628,	10.787316169975998
0.015720569,	9.806647302837998
0.016381296,	8.82598533
0.017693309525600002,	7.8453164633190005
0.018665521251999998,	6.864654490937999
0.019708525,	5.883992519
0.021034697,	4.903323651418999
0.022601562901599998,	3.922661679
0.02356905,5	2.941992812
0.024498791610399997,	1.96133084
0.025579551,	0.9806619723809998
0.026570641,	0
